emotionType,genre_name,genre_code,genre_weight,,,,,,,,,,,
기쁨/행복,액션,28,0.7,,,,,,,,,,,
기쁨/행복,모험,12,0.8,,,,,,,,,,,
기쁨/행복,애니메이션,16,0.9,,,,,,,,,,,
기쁨/행복,코미디,35,1,,,,,,,,,,,
기쁨/행복,범죄,80,0.3,,,,,,,,,,,
기쁨/행복,다큐멘터리,99,0.4,,,,,,,,,,,
기쁨/행복,드라마,18,0.6,,,,,,,,,,,
기쁨/행복,가족,10751,0.6,,,,,,,,,,,
기쁨/행복,판타지,14,0.8,,,,,,,,,,,
기쁨/행복,역사,36,0.5,,,,,,,,,,,
기쁨/행복,공포,27,0.2,,,,,,,,,,,
기쁨/행복,음악,10402,0.8,,,,,,,,,,,
기쁨/행복,미스터리,9648,0.4,,,,,,,,,,,
기쁨/행복,로맨스,10749,0.9,,,,,,,,,,,
기쁨/행복,SF,878,0.6,,,,,,,,,,,
기쁨/행복,스릴러,53,0.3,,,,,,,,,,,
기쁨/행복,전쟁,10752,0.2,,,,,,,,,,,
기쁨/행복,서부,37,0.5,,,,,,,,,,,
평온/만족,액션,28,0.4,,,,,,,,,,,
평온/만족,모험,12,0.6,,,,,,,,,,,
평온/만족,애니메이션,16,0.8,,,,,,,,,,,
평온/만족,코미디,35,0.7,,,,,,,,,,,
평온/만족,범죄,80,0.2,,,,,,,,,,,
평온/만족,다큐멘터리,99,0.9,,,,,,,,,,,
평온/만족,드라마,18,0.8,,,,,,,,,,,
평온/만족,가족,10751,0.9,,,,,,,,,,,
평온/만족,판타지,14,0.7,,,,,,,,,,,
평온/만족,역사,36,0.3,,,,,,,,,,,
평온/만족,공포,27,0.1,,,,,,,,,,,
평온/만족,음악,10402,0.9,,,,,,,,,,,
평온/만족,미스터리,9648,0.4,,,,,,,,,,,
평온/만족,로맨스,10749,1,,,,,,,,,,,
평온/만족,SF,878,0.5,,,,,,,,,,,
평온/만족,스릴러,53,0.3,,,,,,,,,,,
평온/만족,전쟁,10752,0.3,,,,,,,,,,,
평온/만족,서부,37,0.5,,,,,,,,,,,
분노/짜증,액션,28,1,,,,,,,,,,,
분노/짜증,모험,12,0.6,,,,,,,,,,,
분노/짜증,애니메이션,16,0.3,,,,,,,,,,,
분노/짜증,코미디,35,0.7,,,,,,,,,,,
분노/짜증,범죄,80,0.9,,,,,,,,,,,
분노/짜증,다큐멘터리,99,0.1,,,,,,,,,,,
분노/짜증,드라마,18,0.7,,,,,,,,,,,
분노/짜증,가족,10751,0.3,,,,,,,,,,,
분노/짜증,판타지,14,0.6,,,,,,,,,,,
분노/짜증,역사,36,0.6,,,,,,,,,,,
분노/짜증,공포,27,0.5,,,,,,,,,,,
분노/짜증,음악,10402,0.6,,,,,,,,,,,
분노/짜증,미스터리,9648,0.3,,,,,,,,,,,
분노/짜증,로맨스,10749,0.2,,,,,,,,,,,
분노/짜증,SF,878,0.5,,,,,,,,,,,
분노/짜증,스릴러,53,0.7,,,,,,,,,,,
분노/짜증,전쟁,10752,1,,,,,,,,,,,
분노/짜증,서부,37,0.5,,,,,,,,,,,
불안/걱정,액션,28,0.7,,,,,,,,,,,
불안/걱정,모험,12,0.5,,,,,,,,,,,
불안/걱정,애니메이션,16,0.6,,,,,,,,,,,
불안/걱정,코미디,35,0.8,,,,,,,,,,,
불안/걱정,범죄,80,0.8,,,,,,,,,,,
불안/걱정,다큐멘터리,99,0.6,,,,,,,,,,,
불안/걱정,드라마,18,0.7,,,,,,,,,,,
불안/걱정,가족,10751,0.4,,,,,,,,,,,
불안/걱정,판타지,14,0.6,,,,,,,,,,,
불안/걱정,역사,36,0.5,,,,,,,,,,,
불안/걱정,공포,27,0.1,,,,,,,,,,,
불안/걱정,음악,10402,0.6,,,,,,,,,,,
불안/걱정,미스터리,9648,0.3,,,,,,,,,,,
불안/걱정,로맨스,10749,0.5,,,,,,,,,,,
불안/걱정,SF,878,0.8,,,,,,,,,,,
불안/걱정,스릴러,53,0.3,,,,,,,,,,,
불안/걱정,전쟁,10752,0.5,,,,,,,,,,,
불안/걱정,서부,37,0.3,,,,,,,,,,,
슬픔/우울,액션,28,0.3,,,,,,,,,,,
슬픔/우울,모험,12,0.4,,,,,,,,,,,
슬픔/우울,애니메이션,16,0.5,,,,,,,,,,,
슬픔/우울,코미디,35,0.5,,,,,,,,,,,
슬픔/우울,범죄,80,0.4,,,,,,,,,,,
슬픔/우울,다큐멘터리,99,0.6,,,,,,,,,,,
슬픔/우울,드라마,18,1,,,,,,,,,,,
슬픔/우울,가족,10751,0.7,,,,,,,,,,,
슬픔/우울,판타지,14,0.5,,,,,,,,,,,
슬픔/우울,역사,36,0.6,,,,,,,,,,,
슬픔/우울,공포,27,0.5,,,,,,,,,,,
슬픔/우울,음악,10402,0.7,,,,,,,,,,,
슬픔/우울,미스터리,9648,0.6,,,,,,,,,,,
슬픔/우울,로맨스,10749,0.8,,,,,,,,,,,
슬픔/우울,SF,878,0.5,,,,,,,,,,,
슬픔/우울,스릴러,53,0.5,,,,,,,,,,,
슬픔/우울,전쟁,10752,0.9,,,,,,,,,,,
슬픔/우울,서부,37,0.5,,,,,,,,,,,
지루/심심,액션,28,0.9,,,,,,,,,,,
지루/심심,모험,12,0.8,,,,,,,,,,,
지루/심심,애니메이션,16,0.9,,,,,,,,,,,
지루/심심,코미디,35,1,,,,,,,,,,,
지루/심심,범죄,80,0.8,,,,,,,,,,,
지루/심심,다큐멘터리,99,0.2,,,,,,,,,,,
지루/심심,드라마,18,0.4,,,,,,,,,,,
지루/심심,가족,10751,0.4,,,,,,,,,,,
지루/심심,판타지,14,0.8,,,,,,,,,,,
지루/심심,역사,36,0.3,,,,,,,,,,,
지루/심심,공포,27,0.6,,,,,,,,,,,
지루/심심,음악,10402,0.5,,,,,,,,,,,
지루/심심,미스터리,9648,0.4,,,,,,,,,,,
지루/심심,로맨스,10749,0.5,,,,,,,,,,,
지루/심심,SF,878,0.9,,,,,,,,,,,
지루/심심,스릴러,53,0.6,,,,,,,,,,,
지루/심심,전쟁,10752,0.2,,,,,,,,,,,
지루/심심,서부,37,0.4,,,,,,,,,,,
